,VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
23,1G1FY6S0XL,Snohomish,Brier,WA,98036.0,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,1.0,145615970,POINT (-122.316675 47.819365),PUGET SOUND ENERGY INC,53061051913.0
24,WBY8P6C04L,Kitsap,Bainbridge Island,WA,98110.0,2020,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,153,0,23.0,132150504,POINT (-122.5235781 47.6293323),PUGET SOUND ENERGY INC,53035091002.0
25,5YJYGDEE8L,Snohomish,Bothell,WA,98021.0,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,1.0,110047598,POINT (-122.179458 47.802589),PUGET SOUND ENERGY INC,53061051938.0
26,KNAGV4LD5J,Thurston,Lacey,WA,98503.0,2018,KIA,OPTIMA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,29,0,22.0,165098895,POINT (-122.8285 47.03646),PUGET SOUND ENERGY INC,53067011300.0
27,5YJ3E1EA5L,Yakima,Yakima,WA,98902.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,14.0,102765120,POINT (-120.524012 46.5973939),PACIFICORP,53077000301.0
28,5YJ3E1EB5J,King,Seattle,WA,98115.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,46.0,474007481,POINT (-122.3185 47.67949),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002200.0
29,5UXTA6C04N,Thurston,Olympia,WA,98501.0,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,22.0,216634071,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067010300.0
30,5YJSA1E23H,Yakima,Yakima,WA,98901.0,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,15.0,255647577,POINT (-120.500225 46.6043),PACIFICORP,53077001601.0
31,5YJSA1E22K,Snohomish,Bothell,WA,98012.0,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,0,21.0,145860116,POINT (-122.1873 47.820245),PUGET SOUND ENERGY INC,53061051927.0
32,7SAYGDEE7N,Yakima,Yakima,WA,98902.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15.0,185725480,POINT (-120.524012 46.5973939),PACIFICORP,53077000301.0
33,WBY7Z8C55J,Thurston,Tumwater,WA,98512.0,2018,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,0,22.0,190643316,POINT (-122.9131017 47.0135926),PUGET SOUND ENERGY INC,53067011000.0
34,1G1RA6E48D,Snohomish,Edmonds,WA,98026.0,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,21.0,213526673,POINT (-122.335685 47.80372),PUGET SOUND ENERGY INC,53061050102.0
35,JA4T5VA98P,Yakima,Yakima,WA,98908.0,2023,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,14.0,249745730,POINT (-120.6027202 46.5965625),PACIFICORP,53077000904.0
36,WBY1Z4C54G,Snohomish,Lake Stevens,WA,98258.0,2016,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,44.0,139826151,POINT (-122.112265 48.0047),PUGET SOUND ENERGY INC,53061052604.0
37,5YJ3E1EA7K,Yakima,Tieton,WA,98947.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,14.0,476682475,POINT (-120.75692 46.70383),PACIFICORP,53077002900.0
38,1G1RE6E47E,Snohomish,Bothell,WA,98021.0,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,1.0,232778409,POINT (-122.179458 47.802589),PUGET SOUND ENERGY INC,53061051918.0
39,JHMZC5F30J,Snohomish,Everett,WA,98204.0,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,0,21.0,132616291,POINT (-122.240535 47.91139),PUGET SOUND ENERGY INC,53061041812.0
40,1N4AZ1CP9L,Thurston,Lacey,WA,98503.0,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,0,22.0,229380322,POINT (-122.8285 47.03646),PUGET SOUND ENERGY INC,53067011200.0
41,WA1E2AFY0M,Thurston,Olympia,WA,98502.0,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,35.0,141822551,POINT (-122.92145 47.045935),PUGET SOUND ENERGY INC,53067011902.0
42,1C4JJXR64N,Yakima,Naches,WA,98937.0,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,14.0,209500252,POINT (-120.69918 46.7305),PACIFICORP,53077003004.0
43,1G1FX6S01K,Island,Oak Harbor,WA,98277.0,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,10.0,475249806,POINT (-122.6788673 48.2897314),PUGET SOUND ENERGY INC,53029971000.0
44,1N4AZ1CP3J,Kitsap,Poulsbo,WA,98370.0,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,23.0,168437370,POINT (-122.64177 47.737525),PUGET SOUND ENERGY INC,53035940000.0
45,5YJYGDEEXL,Snohomish,Marysville,WA,98270.0,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,38.0,123386574,POINT (-122.17673 48.05542),PUGET SOUND ENERGY INC,53061052809.0
46,1N4AZ0CP9F,King,Shoreline,WA,98133.0,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,32.0,263970794,POINT (-122.34584 47.76726),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020900.0
